"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
2023-06-01,7519,google,organic,,0,0,0,
2023-06-01,2555,organic,organic,,0,0,0,
2023-06-01,132,admitad,cpa,admitad,0,0,0,
2023-06-01,132,yandex,cpc,freemium,21654,104,25,1654810
2023-06-01,130,vk,cpc,freemium-frontend,3160,44,5,338083
2023-06-01,99,vk,cpc,prof-python,2028,42,5,355564
2023-06-01,97,yandex,cpc,prof-frontend,57138,75,13,1191100
2023-06-01,90,vk,cpc,base-python,2537,36,1,9072
2023-06-01,87,vk,cpc,prof-java,3115,24,2,232726
2023-06-01,85,yandex,cpc,prof-python,33026,66,9,831438
2023-06-01,77,vk,cpc,prof-data-analytics,1072,32,0,
2023-06-01,76,vk,cpc,freemium-java,487,25,0,
2023-06-01,68,bing.com,organic,,0,0,0,
2023-06-01,67,vk,cpc,freemium-python,980,25,1,1560
2023-06-01,64,yandex,cpc,prof-java,29490,52,4,284590
